VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
SLG			DLG		--
	9.700000000000000e+1	1.789190000000000e-2		9.700000000000000e+1	1.265770000000000e-2
	9.800000000000000e+1	2.287470000000000e-2		9.800000000000000e+1	1.622100000000000e-2
	9.900000000000000e+1	3.227320000000000e-2		9.900000000000000e+1	4.320950000000000e-2
	1.000000000000000e+2	4.400120000000001e-2		1.000000000000000e+2	8.106900000000000e-2
	1.010000000000000e+2	5.427850000000000e-2		1.010000000000000e+2	1.124730000000000e-1
	1.020000000000000e+2	5.866150000000000e-2		1.020000000000000e+2	1.225250000000000e-1
	1.030000000000000e+2	5.473550000000000e-2		1.030000000000000e+2	1.058010000000000e-1
	1.040000000000000e+2	4.367190000000000e-2		1.040000000000000e+2	6.906160000000000e-2
	1.050000000000000e+2	2.886810000000000e-2		1.050000000000000e+2	2.769450000000000e-2
	1.060000000000000e+2	1.325550000000000e-2		1.060000000000000e+2	-1.761010000000000e-3
	1.070000000000000e+2	-2.162730000000000e-3		1.070000000000000e+2	-8.646440000000000e-3
	1.080000000000000e+2	-1.759910000000000e-2		1.080000000000000e+2	7.681080000000000e-3
	1.090000000000000e+2	-3.312990000000000e-2		1.090000000000000e+2	3.717750000000000e-2
	1.100000000000000e+2	-4.813709999999999e-2		1.100000000000000e+2	6.281100000000001e-2
	1.110000000000000e+2	-6.175040000000000e-2		1.110000000000000e+2	6.824559999999999e-2
	1.120000000000000e+2	-7.372560000000000e-2		1.120000000000000e+2	4.598620000000000e-2
	1.130000000000000e+2	-8.443800000000000e-2		1.130000000000000e+2	1.180940000000000e-3
	1.140000000000000e+2	-9.385840000000000e-2		1.140000000000000e+2	-5.078610000000000e-2
	1.150000000000000e+2	-1.003830000000000e-1		1.150000000000000e+2	-9.115510000000000e-2
	1.160000000000000e+2	-1.011500000000000e-1		1.160000000000000e+2	-1.056050000000000e-1
	1.170000000000000e+2	-9.423110000000002e-2		1.170000000000000e+2	-8.962150000000000e-2
	1.180000000000000e+2	-8.045640000000002e-2		1.180000000000000e+2	-4.999460000000000e-2
	1.190000000000000e+2	-6.277420000000000e-2		1.190000000000000e+2	-2.286920000000000e-3
