VAR1	VAR2	VAR3	VAR4	VAR5	VAR6
	7.863910000000000e+2	3.864410000000000e+0		7.863910000000000e+2	4.269240000000000e-2
	8.065540000000000e+2	4.239760000000000e-1		8.065540000000000e+2	1.522840000000000e+0
	8.267180000000000e+2	2.328670000000000e-1		8.267180000000000e+2	9.896830000000000e+0
	8.468820000000000e+2	7.741920000000000e+0		8.468820000000000e+2	1.226750000000000e+0
	8.670460000000000e+2	7.125910000000000e+0		8.670460000000000e+2	1.962450000000000e-2
	8.872100000000000e+2	1.561830000000000e+1		8.872100000000000e+2	9.924110000000000e+0
	9.073740000000000e+2	1.419740000000000e-2		9.073740000000000e+2	3.618260000000000e+0
	9.275380000000000e+2	1.054160000000000e+1		9.275380000000000e+2	7.971910000000000e+0
	9.477020000000000e+2	1.126470000000000e+2		9.477020000000000e+2	3.699940000000000e+0
	9.678650000000000e+2	2.365430000000000e+1		9.678650000000000e+2	4.632970000000000e+0
	9.880290000000000e+2	1.178320000000000e+1		9.880290000000000e+2	1.522720000000000e+1
	1.008190000000000e+3	5.538860000000000e+0		1.008190000000000e+3	1.125210000000000e+1
	1.028360000000000e+3	5.250700000000000e+0		1.028360000000000e+3	1.005140000000000e-1
	1.048520000000000e+3	7.294550000000000e+1		1.048520000000000e+3	4.566820000000000e+1
	1.068680000000000e+3	2.652130000000000e+2		1.068680000000000e+3	1.028900000000000e+2
	1.088850000000000e+3	9.030630000000000e+2		1.088850000000000e+3	3.811530000000000e+2
	1.109010000000000e+3	6.236820000000000e+3		1.109010000000000e+3	2.527260000000000e+3
	1.129180000000000e+3	2.434860000000000e-1		1.129180000000000e+3	4.338910000000000e+1
	1.149340000000000e+3	1.507500000000000e+2		1.149340000000000e+3	8.712450000000000e+1
	1.169500000000000e+3	1.888540000000000e+2		1.169500000000000e+3	5.825580000000000e+1
	1.189670000000000e+3	2.212700000000000e+2		1.189670000000000e+3	2.382840000000000e+0
	1.209830000000000e+3	5.126160000000000e+2		1.209830000000000e+3	4.207810000000000e+1
	1.230000000000000e+3	9.174050000000000e+2		1.230000000000000e+3	7.524070000000000e+1
	1.250160000000000e+3	8.421490000000000e+1		1.250160000000000e+3	2.207070000000000e+1
	1.270320000000000e+3	1.433000000000000e+1		1.270320000000000e+3	8.929040000000000e+0
	1.290490000000000e+3	1.058100000000000e+0		1.290490000000000e+3	9.073210000000000e+0
	1.310650000000000e+3	7.290450000000000e+0		1.310650000000000e+3	2.003410000000000e+0
	1.330810000000000e+3	2.065110000000000e+1		1.330810000000000e+3	1.109100000000000e+0
	1.350980000000000e+3	1.376150000000000e+1		1.350980000000000e+3	1.235190000000000e+1
	1.371140000000000e+3	7.364770000000000e+0		1.371140000000000e+3	1.219950000000000e+2
	1.391310000000000e+3	2.272690000000000e+0		1.391310000000000e+3	6.543640000000000e+0
	1.411470000000000e+3	4.294100000000000e-5		1.411470000000000e+3	1.418250000000000e+1
	1.431630000000000e+3	8.732030000000000e+0		1.431630000000000e+3	1.441680000000000e+1
	1.451800000000000e+3	6.476080000000000e+0		1.451800000000000e+3	1.317160000000000e+0
	1.471960000000000e+3	4.597209999999999e+0		1.471960000000000e+3	5.789700000000000e-1
	1.492130000000000e+3	3.816530000000000e-1		1.492130000000000e+3	4.224840000000000e+0
	1.512290000000000e+3	6.095220000000000e-4		1.512290000000000e+3	2.977260000000000e-5
	1.532450000000000e+3	2.348860000000000e+0		1.532450000000000e+3	1.999570000000000e+1
	1.552620000000000e+3	5.034360000000000e+0		1.552620000000000e+3	4.568970000000000e-1
	1.572780000000000e+3	2.748480000000000e+1		1.572780000000000e+3	2.818630000000000e+0
	1.592950000000000e+3	7.450680000000000e+0		1.592950000000000e+3	7.728740000000000e+0
	1.613110000000000e+3	8.259170000000000e-2		1.613110000000000e+3	4.209120000000001e+0
	1.633270000000000e+3	6.972910000000000e+0		1.633270000000000e+3	1.133160000000000e+0
	1.653440000000000e+3	2.012510000000000e+0		1.653440000000000e+3	1.105090000000000e+0
	1.673600000000000e+3	8.670600000000000e+0		1.673600000000000e+3	3.391870000000000e+0
	1.693760000000000e+3	4.967500000000000e-4		1.693760000000000e+3	4.310570000000000e+0
	1.713930000000000e+3	1.952050000000000e+0		1.713930000000000e+3	1.529130000000000e+0
	1.734090000000000e+3	1.157830000000000e+0		1.734090000000000e+3	4.850830000000000e-2
	1.754260000000000e+3	1.066380000000000e+1		1.754260000000000e+3	1.673410000000000e+1
	1.774420000000000e+3	1.613310000000000e+2		1.774420000000000e+3	5.225970000000000e+0
	1.794580000000000e+3	1.860600000000000e+2		1.794580000000000e+3	4.339860000000000e+0
	1.814750000000000e+3	8.203110000000000e-1		1.814750000000000e+3	1.611780000000000e+0
	1.834910000000000e+3	1.639530000000000e+0		1.834910000000000e+3	9.232790000000000e-1
	1.855080000000000e+3	1.937850000000000e+1		1.855080000000000e+3	4.265820000000000e+0
	1.875240000000000e+3	1.052820000000000e+2		1.875240000000000e+3	1.604780000000000e+0
	1.895400000000000e+3	6.452900000000000e+2		1.895400000000000e+3	1.187110000000000e+1
	1.915570000000000e+3	1.777730000000000e+0		1.915570000000000e+3	4.989960000000000e-1
	1.935730000000000e+3	2.161150000000000e+1		1.935730000000000e+3	1.251300000000000e+0
	1.955890000000000e+3	5.918270000000000e+0		1.955890000000000e+3	9.026000000000000e+0
	1.976060000000000e+3	2.489880000000000e+0		1.976060000000000e+3	6.716250000000000e-2
	1.996220000000000e+3	1.857310000000000e+0		1.996220000000000e+3	3.288340000000000e+0
	2.016390000000000e+3	8.485220000000000e-1		2.016390000000000e+3	1.249570000000000e+0
	2.036550000000000e+3	1.134090000000000e-1		2.036550000000000e+3	1.986190000000000e+0
	2.056710000000000e+3	2.909110000000000e-2		2.056710000000000e+3	5.004790000000000e+0
	2.076880000000000e+3	2.032660000000000e-1		2.076880000000000e+3	4.067920000000000e-1
	2.097040000000000e+3	3.780470000000000e+1		2.097040000000000e+3	3.133660000000000e-1
	2.117210000000000e+3	3.110420000000000e+0		2.117210000000000e+3	6.608350000000000e-2
