VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16	VAR17	VAR18	VAR19	VAR20	VAR21	VAR22	VAR23	VAR24
1.099999905399933e+1	-8.621125973999998e-1	1.099999905399933e+1	-2.737064423000000e-1	1.099999905399933e+1	-2.611252730000000e-1	1.099999905399933e+1	-2.100297092000000e-1	1.099999905399933e+1	-3.405755360000001e-2	1.099999905399933e+1	-6.811579300000009e-3	1.099999905399933e+1	3.273601969999999e-2	1.099999905399933e+1	4.126464599999999e-2	1.099999905399933e+1	2.867917191000000e-1	1.099999905399933e+1	2.992581112000000e-1	1.099999905399933e+1	6.201598530000000e-1	1.099999905399933e+1	7.387973033000000e-1
1.199999896799905e+1	-8.624673070000000e-1	1.199999896799905e+1	-2.704315556000000e-1	1.199999896799905e+1	-2.633371195000000e-1	1.199999896799905e+1	-2.143556910000000e-1	1.199999896799905e+1	-3.104085980000002e-2	1.199999896799905e+1	-8.880203200000019e-3	1.199999896799905e+1	3.094081549999998e-2	1.199999896799905e+1	3.828754539999998e-2	1.199999896799905e+1	2.896477624000000e-1	1.199999896799905e+1	3.008984797000000e-1	1.199999896799905e+1	6.306212001000000e-1	1.199999896799905e+1	7.369209289000000e-1
1.299999888200119e+1	-8.609557371000000e-1	1.299999888200119e+1	-2.707571504000000e-1	1.299999888200119e+1	-2.626872358000000e-1	1.299999888200119e+1	-2.188565515000000e-1	1.299999888200119e+1	-2.745115340000001e-2	1.299999888200119e+1	-1.114950900000000e-2	1.299999888200119e+1	2.837921439999999e-2	1.299999888200119e+1	3.556441219999999e-2	1.299999888200119e+1	2.926050730000000e-1	1.299999888200119e+1	3.034026650000000e-1	1.299999888200119e+1	6.466638896000000e-1	1.299999888200119e+1	7.299333465000000e-1
1.399999879600091e+1	-8.579663648000000e-1	1.399999879600091e+1	-2.749264299000000e-1	1.399999879600091e+1	-2.584438908000000e-1	1.399999879600091e+1	-2.228660811000000e-1	1.399999879600091e+1	-2.489525820000002e-2	1.399999879600091e+1	-1.232522050000001e-2	1.399999879600091e+1	2.612593799999999e-2	1.399999879600091e+1	3.408867780000000e-2	1.399999879600091e+1	2.970079041000000e-1	1.399999879600091e+1	3.062198469000000e-1	1.399999879600091e+1	6.664721164999999e-1	1.399999879600091e+1	7.186297411000000e-1
1.499999871000063e+1	-8.549206407000000e-1	1.499999871000063e+1	-2.799074109000000e-1	1.499999871000063e+1	-2.539788658000000e-1	1.499999871000063e+1	-2.259829050000000e-1	1.499999871000063e+1	-2.535858460000001e-2	1.499999871000063e+1	-1.187431810000000e-2	1.499999871000063e+1	2.459745979999998e-2	1.499999871000063e+1	3.396203159999998e-2	1.499999871000063e+1	3.027912127000000e-1	1.499999871000063e+1	3.083108619000000e-1	1.499999871000063e+1	6.823788921000000e-1	1.499999871000063e+1	7.085745849000000e-1
1.599999862400035e+1	-8.528140425000000e-1	1.599999862400035e+1	-2.841495859000000e-1	1.599999862400035e+1	-2.500816591000000e-1	1.599999862400035e+1	-2.273890633000000e-1	1.599999862400035e+1	-2.817606590000002e-2	1.599999862400035e+1	-1.058932320000000e-2	1.599999862400035e+1	2.415481289999999e-2	1.599999862400035e+1	3.510553729999999e-2	1.599999862400035e+1	3.075357769000000e-1	1.599999862400035e+1	3.109708897000000e-1	1.599999862400035e+1	6.801754262999999e-1	1.599999862400035e+1	7.133908909000000e-1
1.699999853800007e+1	-8.520271292999998e-1	1.699999853800007e+1	-2.863169168000000e-1	1.699999853800007e+1	-2.460632863000000e-1	1.699999853800007e+1	-2.265292273000000e-1	1.699999853800007e+1	-3.084401720000002e-2	1.699999853800007e+1	-9.300652100000002e-3	1.699999853800007e+1	2.513056619999998e-2	1.699999853800007e+1	3.751936899999998e-2	1.699999853800007e+1	3.086751929000000e-1	1.699999853800007e+1	3.163436512000000e-1	1.699999853800007e+1	6.644150133000000e-1	1.699999853800007e+1	7.290792790000000e-1
1.799999845199979e+1	-8.526542654000000e-1	1.799999845199979e+1	-2.860886521000000e-1	1.799999845199979e+1	-2.417520795000000e-1	1.799999845199979e+1	-2.231155696000000e-1	1.799999845199979e+1	-3.215034210000001e-2	1.799999845199979e+1	-8.555862700000000e-3	1.799999845199979e+1	2.686975869999998e-2	1.799999845199979e+1	4.044122779999999e-2	1.799999845199979e+1	3.067392831000000e-1	1.799999845199979e+1	3.223431133000000e-1	1.799999845199979e+1	6.502124001000000e-1	1.799999845199979e+1	7.412121364000000e-1
1.899999836599950e+1	-8.539831472999998e-1	1.899999836599950e+1	-2.831677131000000e-1	1.899999836599950e+1	-2.367129508000000e-1	1.899999836599950e+1	-2.173337439000000e-1	1.899999836599950e+1	-3.117439830000002e-2	1.899999836599950e+1	-7.936623000000003e-3	1.899999836599950e+1	2.920344879999999e-2	1.899999836599950e+1	4.372735229999999e-2	1.899999836599950e+1	3.036811484000000e-1	1.899999836599950e+1	3.270271761000000e-1	1.899999836599950e+1	6.414897176000001e-1	1.899999836599950e+1	7.474637971000000e-1
1.999999827999923e+1	-8.552447934000000e-1	1.999999827999923e+1	-2.781539168000000e-1	1.999999827999923e+1	-2.312217551000000e-1	1.999999827999923e+1	-2.101643715000000e-1	1.999999827999923e+1	-2.799779950000000e-2	1.999999827999923e+1	-7.216896700000003e-3	1.999999827999923e+1	3.180257529999998e-2	1.999999827999923e+1	4.711514699999998e-2	1.999999827999923e+1	3.000278005000000e-1	1.999999827999923e+1	3.300117376000000e-1	1.999999827999923e+1	6.398422337000001e-1	1.999999827999923e+1	7.471296856000000e-1
