# E (eV)  pdos(E) 
  -17.593999863    3.302070141
  -17.573999405    3.624090433
  -17.554000854    4.332820415
  -17.534000397    5.425779343
  -17.513999939    6.879009724
  -17.493999481    8.637662888
  -17.474000931   10.637173653
  -17.454000473   12.783893585
  -17.434000015   14.986675262
  -17.413999557   17.142143250
  -17.393999100   19.160711288
  -17.374000549   20.959260941
  -17.354000092   22.448312759
  -17.333999634   23.588582993
  -17.313999176   24.304121017
  -17.294000626   24.586151123
  -17.274000168   24.403705597
  -17.253999710   23.790477753
  -17.233999252   22.818561554
  -17.214000702   21.592245102
  -17.194000244   20.247526169
  -17.173999786   18.934316635
  -17.153999329   17.781908035
  -17.134000778   16.880598068
  -17.114000320   16.276485443
  -17.093999863   15.926379204
  -17.073999405   15.765438080
  -17.054000854   15.657052994
  -17.034000397   15.489432335
  -17.013999939   15.127086639
  -16.993999481   14.501073837
  -16.974000931   13.573233604
  -16.954000473   12.366069794
  -16.934000015   10.927053452
  -16.913999557    9.351371765
  -16.893999100    7.739362240
  -16.874000549    6.186142921
  -16.854000092    4.772426605
  -16.833999634    3.551764965
  -16.813999176    2.547220469
  -16.794000626    1.761442900
  -16.774000168    1.175338268
  -16.753999710    0.758038938
  -16.733999252    0.473633438
  -16.714000702    0.288415134
  -16.694000244    0.172733009
  -16.673999786    0.103364110
  -16.653999329    0.063213296
  -16.634000778    0.040848896
  -16.614000320    0.029019296
  -16.593999863    0.023738893
  -16.573999405    0.023302995
  -16.554000854    0.028007297
  -16.534000397    0.040049400
  -16.513999939    0.064058013
  -16.493999481    0.107606910
  -16.474000931    0.182249665
  -16.454000473    0.304129064
  -16.434000015    0.493806332
  -16.413999557    0.775213480
  -16.393999100    1.172170877
  -16.374000549    1.705729723
  -16.354000092    2.384444714
  -16.333999634    3.199481010
  -16.313999176    4.119156361
  -16.294000626    5.088202953
  -16.274000168    6.030231476
  -16.253999710    6.856211662
  -16.233999252    7.483690262
  -16.214000702    7.855333328
  -16.194000244    7.946331978
  -16.173999786    7.778396606
  -16.153999329    7.419076920
  -16.134000778    6.997778416
  -16.114000320    6.629050255
  -16.093999863    6.472414970
  -16.073999405    6.637357235
  -16.054000854    7.196375847
  -16.034000397    8.177355766
  -16.013999939    9.503338814
  -15.994000435   11.060606956
  -15.973999977   12.672121048
  -15.954000473   14.129376411
  -15.934000015   15.221914291
  -15.913999557   15.784978867
  -15.894000053   15.728646278
  -15.873999596   15.049761772
