VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	VAR16
1.199999896799905e+1	-8.233123960000002e-1	1.199999896799905e+1	-2.418216080000000e-1	1.199999896799905e+1	-6.592863080000000e-2	1.199999896799905e+1	-2.712714360000002e-2	1.199999896799905e+1	-1.423265109999994e-2	1.199999896799905e+1	1.206899749999990e-2	1.199999896799905e+1	6.750074513000001e-1	1.199999896799905e+1	7.085188791000000e-1
1.299999888200119e+1	-8.218421308000002e-1	1.299999888200119e+1	-2.546375724000001e-1	1.299999888200119e+1	-5.513420609999997e-2	1.299999888200119e+1	-2.870807179999990e-2	1.299999888200119e+1	-1.656928259999990e-2	1.299999888200119e+1	4.041476100000052e-3	1.299999888200119e+1	6.746428373000000e-1	1.299999888200119e+1	7.107712685000001e-1
1.399999879600091e+1	-8.221104758000000e-1	1.399999879600091e+1	-2.588042396999999e-1	1.399999879600091e+1	-5.013513049999996e-2	1.399999879600091e+1	-2.996152760000004e-2	1.399999879600091e+1	-1.749725249999989e-2	1.399999879600091e+1	-4.136989000000923e-4	1.399999879600091e+1	6.698788016000000e-1	1.399999879600091e+1	7.150645439000000e-1
1.499999871000063e+1	-8.244900719999998e-1	1.499999871000063e+1	-2.541452618000000e-1	1.499999871000063e+1	-5.554766209999995e-2	1.499999871000063e+1	-2.773063419999988e-2	1.499999871000063e+1	-1.559004920000007e-2	1.499999871000063e+1	9.019046000000586e-4	1.499999871000063e+1	6.606123817000000e-1	1.499999871000063e+1	7.213850188000000e-1
1.599999862400035e+1	-8.296441357000000e-1	1.599999862400035e+1	-2.423579171000001e-1	1.599999862400035e+1	-6.611828449999990e-2	1.599999862400035e+1	-2.490601850000007e-2	1.599999862400035e+1	-1.343947959999992e-2	1.599999862400035e+1	9.134426199999934e-3	1.599999862400035e+1	6.475385753000000e-1	1.599999862400035e+1	7.277428530000000e-1
1.699999853800007e+1	-8.379397029000002e-1	1.699999853800007e+1	-2.256120667999999e-1	1.699999853800007e+1	-7.589263350000008e-2	1.699999853800007e+1	-2.362690360000008e-2	1.699999853800007e+1	-1.328889950000001e-2	1.699999853800007e+1	2.088468370000007e-2	1.699999853800007e+1	6.317980529000000e-1	1.699999853800007e+1	7.319375466000000e-1
1.799999845199979e+1	-8.485151958999998e-1	1.799999845199979e+1	-2.060577907000001e-1	1.799999845199979e+1	-8.170395480000003e-2	1.799999845199979e+1	-2.204390740000006e-2	1.799999845199979e+1	-1.299745309999989e-2	1.799999845199979e+1	3.278511330000011e-2	1.799999845199979e+1	6.156803999000000e-1	1.799999845199979e+1	7.328502516000000e-1
1.899999836599950e+1	-8.602520116999998e-1	1.899999836599950e+1	-1.859944428000000e-1	1.899999836599950e+1	-8.217335450000008e-2	1.899999836599950e+1	-2.007265180000006e-2	1.899999836599950e+1	-1.065380139999994e-2	1.899999836599950e+1	4.311424700000010e-2	1.899999836599950e+1	6.016249927000000e-1	1.899999836599950e+1	7.296646953000000e-1
1.999999827999923e+1	-8.726089434000002e-1	1.999999827999923e+1	-1.683078884000000e-1	1.999999827999923e+1	-7.838604899999990e-2	1.999999827999923e+1	-1.895116440000000e-2	1.999999827999923e+1	-6.721167300000053e-3	1.999999827999923e+1	4.988458480000002e-2	1.999999827999923e+1	5.911598091000000e-1	1.999999827999923e+1	7.213311430000000e-1
2.099999819399894e+1	-8.836832230000000e-1	2.099999819399894e+1	-1.535633880000000e-1	2.099999819399894e+1	-7.086591249999996e-2	2.099999819399894e+1	-1.745567559999994e-2	2.099999819399894e+1	-1.216393900000057e-3	2.099999819399894e+1	5.336447169999991e-2	2.099999819399894e+1	5.869140423000000e-1	2.099999819399894e+1	7.088560382000000e-1
