# E (eV)  pdos(E) 
  -23.851999283    7.670962811
  -23.832000732    7.117610455
  -23.812000275    6.328413486
  -23.791999817    5.387174129
  -23.771999359    4.393227577
  -23.752000809    3.430035114
  -23.732000351    2.565433025
  -23.711999893    1.838795543
  -23.691999435    1.266381502
  -23.672000885    0.842349052
  -23.652000427    0.552249849
  -23.631999969    0.377546042
  -23.611999512    0.304606885
  -23.591999054    0.329096913
  -23.572000504    0.459451228
  -23.552000046    0.717256308
  -23.531999588    1.137533545
  -23.511999130    1.759491920
  -23.492000580    2.621099234
  -23.472000122    3.747410774
  -23.451999664    5.130192280
  -23.431999207    6.736663342
  -23.412000656    8.469663620
  -23.392000198   10.206542015
  -23.371999741   11.779289246
  -23.351999283   13.035064697
  -23.332000732   13.821905136
  -23.312000275   14.057749748
  -23.291999817   13.719635963
  -23.271999359   12.868556023
  -23.252000809   11.624373436
  -23.232000351   10.152274132
  -23.211999893    8.614374161
  -23.191999435    7.159902573
  -23.172000885    5.908466816
  -23.152000427    4.914769173
  -23.131999969    4.191060066
  -23.111999512    3.711387396
  -23.091999054    3.421646595
  -23.072000504    3.268244267
  -23.052000046    3.190396786
  -23.031999588    3.148208857
  -23.011999130    3.111565590
  -22.992000580    3.071381569
  -22.972000122    3.026987076
  -22.951999664    2.997745037
  -22.931999207    2.993388414
  -22.912000656    3.035535097
  -22.892000198    3.140030146
  -22.871999741    3.317502022
  -22.851999283    3.573792219
  -22.832000732    3.900063515
  -22.812000275    4.284827232
  -22.791999817    4.698187351
  -22.771999359    5.110520363
  -22.752000809    5.483029842
  -22.732000351    5.774436474
  -22.711999893    5.954321861
  -22.691999435    5.991031170
  -22.672000885    5.882416725
  -22.652000427    5.627728462
  -22.631999969    5.241321564
  -22.611999512    4.764095306
  -22.591999054    4.229041576
  -22.572000504    3.677679062
  -22.552000046    3.141783953
  -22.531999588    2.649523497
  -22.511999130    2.215945959
  -22.492000580    1.849759698
  -22.472000122    1.547942996
  -22.451999664    1.304613352
  -22.431999207    1.111433148
  -22.412000656    0.957663774
  -22.392000198    0.835816860
  -22.371999741    0.739802063
  -22.351999283    0.663996160
  -22.332000732    0.605050087
  -22.312000275    0.561312020
  -22.291999817    0.530503988
  -22.271999359    0.511223376
  -22.252000809    0.501689613
  -22.232000351    0.500027478
  -22.211999893    0.504801154
  -22.191999435    0.514741540
  -22.172000885    0.529199064
  -22.152000427    0.549218774
  -22.131999969    0.576948941
  -22.111999512    0.616707861
  -22.091999054    0.675350010
  -22.072000504    0.763219178
  -22.052000046    0.892561853
  -22.031999588    1.079948306
  -22.011999130    1.343893647
  -21.992000580    1.706405759
  -21.972000122    2.188359499
  -21.951999664    2.806985378
  -21.931999207    3.576737165
  -21.912000656    4.499357224
  -21.892000198    5.568160057
  -21.871999741    6.768040180
  -21.851999283    8.064992905
  -21.832000732    9.416495323
  -21.812000275   10.792846680
  -21.791999817   12.144998550
  -21.771999359   13.425629616
  -21.752000809   14.598852158
  -21.732000351   15.597461700
  -21.711999893   16.368408203
  -21.691999435   16.851169586
  -21.672000885   16.994716644
  -21.652000427   16.752357483
  -21.631999969   16.128995895
  -21.611999512   15.145649910
  -21.591999054   13.887190819
  -21.572000504   12.455481529
  -21.552000046   10.982898712
  -21.531999588    9.610232353
  -21.511999130    8.452909470
  -21.492000580    7.599793911
  -21.472000122    7.097512245
  -21.451999664    6.941352367
  -21.431999207    7.074669361
  -21.412000656    7.401250362
  -21.392000198    7.818509579
  -21.371999741    8.179001808
  -21.351999283    8.388177872
  -21.332000732    8.362435341
  -21.312000275    8.058796883
  -21.291999817    7.487006664
  -21.271999359    6.696903229
  -21.252000809    5.758358002
  -21.232000351    4.763355255
  -21.211999893    3.790321589
  -21.191999435    2.905768394
  -21.172000885    2.151418209
  -21.152000427    1.543036461
  -21.131999969    1.077688098
  -21.111999512    0.739380956
  -21.091999054    0.503861010
  -21.072000504    0.346981704
  -21.052000046    0.246137932
  -21.031999588    0.182958454
  -21.011999130    0.143767372
  -20.992000580    0.119188398
  -20.972000122    0.103043690
  -20.951999664    0.091677599
  -20.931999207    0.082905911
  -20.912000656    0.075649306
  -20.892000198    0.069434427
  -20.871999741    0.064124711
  -20.851999283    0.059693396
  -20.832000732    0.056174997
  -20.812000275    0.053574406
  -20.791999817    0.051901102
  -20.771999359    0.051109098
  -20.752000809    0.051091112
