# E (eV)  pdos(E) 
  -17.291999817   16.899904251
  -17.271999359   16.878101349
  -17.252000809   16.784997940
  -17.232000351   16.613498688
  -17.211999893   16.371202469
  -17.191999435   16.076007843
  -17.172000885   15.757606506
  -17.152000427   15.447796822
  -17.131999969   15.182000160
  -17.111999512   14.982999802
  -17.091999054   14.867003441
  -17.072000504   14.835197449
  -17.052000046   14.878295898
  -17.031999588   14.974395752
  -17.011999130   15.102003098
  -16.992000580   15.237196922
  -16.972000122   15.360795975
  -16.951999664   15.460699081
  -16.931999207   15.529996872
  -16.912000656   15.570096970
  -16.892000198   15.584705353
  -16.871999741   15.582992554
  -16.851999283   15.573397636
  -16.832000732   15.571799278
  -16.812000275   15.592895508
  -16.791999817   15.651294708
  -16.771999359   15.762199402
  -16.752000809   15.929697990
  -16.732000351   16.149995804
  -16.711999893   16.399396896
  -16.691999435   16.642698288
  -16.672000885   16.830402374
  -16.652000427   16.922094345
  -16.631999969   16.871999741
  -16.611999512   16.663499832
  -16.591999054   16.295995712
  -16.572000504   15.805897713
  -16.552000046   15.238600731
  -16.531999588   14.652896881
  -16.511999130   14.106805801
  -16.492000580   13.641401291
  -16.472000122   13.286097527
  -16.451999664   13.048005104
  -16.431999207   12.924208641
  -16.412000656   12.901905060
  -16.392000198   12.969504356
  -16.371999741   13.114603996
  -16.351999283   13.333404541
  -16.332000732   13.620699883
  -16.312000275   13.973202705
  -16.291999817   14.380302429
  -16.271999359   14.826700211
  -16.252000809   15.294198990
  -16.232000351   15.753900528
  -16.211999893   16.188095093
  -16.191999435   16.560392380
  -16.172000885   16.847797394
  -16.152000427   17.027494431
  -16.131999969   17.067201614
  -16.111999512   16.952100754
  -16.091999054   16.680801392
  -16.072000504   16.264698029
  -16.052000046   15.729094505
  -16.031999588   15.102297783
  -16.011999130   14.461498260
  -15.991999626   13.863903046
  -15.972000122   13.376600266
  -15.951999664   13.049404144
  -15.932000160   12.913899422
  -15.911999702   12.974606514
  -15.892000198   13.209102631
  -15.871999741   13.575302124
  -15.852000237   14.017002106
  -15.831999779   14.476297379
  -15.812000275   14.898501396
  -15.791999817   15.239400864
