#  E (eV)   dos(E)     Int dos(E)
-45.440  0.2640E-83  0.1209E-82
-45.420  0.2640E-83  0.1214E-82
-45.400  0.2640E-83  0.1220E-82
-45.380  0.2640E-83  0.1225E-82
-45.360  0.2640E-83  0.1230E-82
-45.340  0.2640E-83  0.1235E-82
-45.320  0.2640E-83  0.1241E-82
-45.300  0.2640E-83  0.1246E-82
-45.280  0.2640E-83  0.1251E-82
-45.260  0.2640E-83  0.1257E-82
-45.240  0.2640E-83  0.1262E-82
-45.220  0.2640E-83  0.1267E-82
-45.200  0.2640E-83  0.1272E-82
-45.180  0.2640E-83  0.1278E-82
-45.160  0.2640E-83  0.1283E-82
-45.140  0.2640E-83  0.1288E-82
-45.120  0.2640E-83  0.1293E-82
-45.100  0.2640E-83  0.1299E-82
-45.080  0.2640E-83  0.1304E-82
-45.060  0.2640E-83  0.1309E-82
-45.040  0.2640E-83  0.1315E-82
-45.020  0.2640E-83  0.1320E-82
-45.000  0.2640E-83  0.1325E-82
-44.980  0.2640E-83  0.1330E-82
-44.960  0.2640E-83  0.1336E-82
-44.940  0.2640E-83  0.1341E-82
-44.920  0.2640E-83  0.1346E-82
-44.900  0.2640E-83  0.1352E-82
-44.880  0.2640E-83  0.1357E-82
-44.860  0.2640E-83  0.1362E-82
-44.840  0.2640E-83  0.1367E-82
-44.820  0.2640E-83  0.1373E-82
-44.800  0.2640E-83  0.1378E-82
-44.780  0.2640E-83  0.1383E-82
-44.760  0.2640E-83  0.1389E-82
-44.740  0.2640E-83  0.1394E-82
-44.720  0.2640E-83  0.1399E-82
-44.700  0.2640E-83  0.1404E-82
-44.680  0.2640E-83  0.1410E-82
-44.660  0.2640E-83  0.1415E-82
-44.640  0.2640E-83  0.1420E-82
-44.620  0.2640E-83  0.1425E-82
-44.600  0.2640E-83  0.1431E-82
-44.580  0.2640E-83  0.1436E-82
-44.560  0.2640E-83  0.1441E-82
-44.540  0.2640E-83  0.1447E-82
-44.520  0.2640E-83  0.1452E-82
-44.500  0.2640E-83  0.1457E-82
-44.480  0.2640E-83  0.1462E-82
-44.460  0.2640E-83  0.1468E-82
-44.440  0.2640E-83  0.1473E-82
-44.420  0.2640E-83  0.1478E-82
-44.400  0.2640E-83  0.1484E-82
-44.380  0.2640E-83  0.1489E-82
-44.360  0.2640E-83  0.1494E-82
-44.340  0.2640E-83  0.1499E-82
-44.320  0.2640E-83  0.1505E-82
-44.300  0.2640E-83  0.1510E-82
-44.280  0.2640E-83  0.1515E-82
-44.260  0.2640E-83  0.1521E-82
-44.240  0.2640E-83  0.1526E-82
-44.220  0.2640E-83  0.1531E-82
-44.200  0.2640E-83  0.1536E-82
-44.180  0.2640E-83  0.1542E-82
-44.160  0.2640E-83  0.1547E-82
-44.140  0.2640E-83  0.1552E-82
-44.120  0.2640E-83  0.1557E-82
-44.100  0.2640E-83  0.1563E-82
-44.080  0.2640E-83  0.1568E-82
-44.060  0.2640E-83  0.1573E-82
-44.040  0.2640E-83  0.1579E-82
-44.020  0.2640E-83  0.1584E-82
-44.000  0.2640E-83  0.1589E-82
-43.980  0.2640E-83  0.1594E-82
-43.960  0.2640E-83  0.1600E-82
-43.940  0.2640E-83  0.1605E-82
-43.920  0.2640E-83  0.1610E-82
-43.900  0.2640E-83  0.1616E-82
-43.880  0.2640E-83  0.1621E-82
-43.860  0.2640E-83  0.1626E-82
-43.840  0.2640E-83  0.1631E-82
-43.820  0.2640E-83  0.1637E-82
-43.800  0.2640E-83  0.1642E-82
-43.780  0.2640E-83  0.1647E-82
-43.760  0.2640E-83  0.1652E-82
-43.740  0.2640E-83  0.1658E-82
-43.720  0.2640E-83  0.1663E-82
-43.700  0.2640E-83  0.1668E-82
-43.680  0.2640E-83  0.1674E-82
-43.660  0.2640E-83  0.1679E-82
-43.640  0.2640E-83  0.1684E-82
-43.620  0.2640E-83  0.1689E-82
-43.600  0.2640E-83  0.1695E-82
-43.580  0.2640E-83  0.1700E-82
-43.560  0.2640E-83  0.1705E-82
-43.540  0.2640E-83  0.1711E-82
-43.520  0.2640E-83  0.1716E-82
-43.500  0.2640E-83  0.1721E-82
-43.480  0.2640E-83  0.1726E-82
-43.460  0.2640E-83  0.1732E-82
-43.440  0.2640E-83  0.1737E-82
-43.420  0.2640E-83  0.1742E-82
-43.400  0.2640E-83  0.1748E-82
-43.380  0.2640E-83  0.1753E-82
-43.360  0.2640E-83  0.1758E-82
-43.340  0.2640E-83  0.1763E-82
-43.320  0.2640E-83  0.1769E-82
-43.300  0.2640E-83  0.1774E-82
-43.280  0.2640E-83  0.1779E-82
-43.260  0.2640E-83  0.1784E-82
-43.240  0.2640E-83  0.1790E-82
-43.220  0.2640E-83  0.1795E-82
-43.200  0.2640E-83  0.1800E-82
-43.180  0.2640E-83  0.1806E-82
-43.160  0.2640E-83  0.1811E-82
-43.140  0.2640E-83  0.1816E-82
-43.120  0.2640E-83  0.1821E-82
-43.100  0.2640E-83  0.1827E-82
-43.080  0.2640E-83  0.1832E-82
-43.060  0.2640E-83  0.1837E-82
-43.040  0.2640E-83  0.1843E-82
-43.020  0.2640E-83  0.1848E-82
-43.000  0.2640E-83  0.1853E-82
-42.980  0.2640E-83  0.1858E-82
-42.960  0.2640E-83  0.1864E-82
-42.940  0.2640E-83  0.1869E-82
-42.920  0.2640E-83  0.1874E-82
-42.900  0.2640E-83  0.1880E-82
-42.880  0.2640E-83  0.1885E-82
-42.860  0.2640E-83  0.1890E-82
-42.840  0.2640E-83  0.1895E-82
-42.820  0.2640E-83  0.1901E-82
-42.800  0.2640E-83  0.1906E-82
-42.780  0.2640E-83  0.1911E-82
-42.760  0.2640E-83  0.1916E-82
-42.740  0.2640E-83  0.1922E-82
-42.720  0.2640E-83  0.1927E-82
-42.700  0.2640E-83  0.1932E-82
-42.680  0.2640E-83  0.1938E-82
-42.660  0.2640E-83  0.1943E-82
-42.640  0.2640E-83  0.1948E-82
-42.620  0.2640E-83  0.1953E-82
-42.600  0.2640E-83  0.1959E-82
