# E (eV)  pdos(E) 
  -22.573999405    0.389521360
  -22.554000854    0.412456185
  -22.534000397    0.420856178
  -22.513999939    0.417141765
  -22.493999481    0.408454955
  -22.474000931    0.409094095
  -22.454000473    0.441801965
  -22.434000015    0.541422784
  -22.413999557    0.758750141
  -22.393999100    1.164960146
  -22.374000549    1.854500055
  -22.354000092    2.944648981
  -22.333999634    4.569180489
  -22.313999176    6.862899780
  -22.294000626    9.943195343
  -22.274000168   13.873504639
  -22.253999710   18.641496658
  -22.233999252   24.130409241
  -22.214000702   30.115705490
  -22.194000244   36.268188477
  -22.173999786   42.208572388
  -22.153999329   47.529499054
  -22.134000778   51.885192871
  -22.114000320   55.013805389
  -22.093999863   56.819252014
  -22.073999405   57.337879181
  -22.054000854   56.704635620
  -22.034000397   55.147327423
  -22.013999939   52.964199066
  -21.993999481   50.443897247
  -21.974000931   47.829193115
  -21.954000473   45.286685944
  -21.934000015   42.947059631
  -21.913999557   40.865676880
  -21.893999100   39.040092468
  -21.874000549   37.449104309
  -21.854000092   36.067401886
  -21.833999634   34.838211060
  -21.813999176   33.728897095
  -21.794000626   32.751602173
  -21.774000168   31.906322479
  -21.753999710   31.253087997
  -21.733999252   30.856298447
  -21.714000702   30.823928833
  -21.694000244   31.269191742
  -21.673999786   32.306507111
  -21.653999329   34.088005066
  -21.634000778   36.711208344
  -21.614000320   40.243076324
  -21.593999863   44.699184418
  -21.573999405   49.991992950
  -21.554000854   55.933521271
  -21.534000397   62.208026886
  -21.513999939   68.429031372
  -21.493999481   74.183975220
  -21.474000931   79.029998779
  -21.454000473   82.653984070
  -21.434000015   84.887992859
  -21.413999557   85.668983459
  -21.393999100   85.095001221
  -21.374000549   83.388984680
  -21.354000092   80.859031677
  -21.333999634   77.808937073
  -21.313999176   74.542030334
  -21.294000626   71.336982727
  -21.274000168   68.388000488
  -21.253999710   65.800979614
  -21.233999252   63.618007660
  -21.214000702   61.853019714
  -21.194000244   60.407047272
  -21.173999786   59.162036896
  -21.153999329   58.029003143
  -21.134000778   56.891021729
  -21.114000320   55.658969879
  -21.093999863   54.354614258
  -21.073999405   52.996028900
  -21.054000854   51.648384094
  -21.034000397   50.396713257
  -21.013999939   49.298782349
  -20.993999481   48.407524109
  -20.974000931   47.746768951
  -20.954000473   47.274986267
  -20.934000015   46.940074921
  -20.913999557   46.676845551
  -20.893999100   46.402873993
  -20.874000549   46.063095093
  -20.854000092   45.618888855
  -20.833999634   45.047882080
  -20.813999176   44.381984711
  -20.794000626   43.633903503
  -20.774000168   42.875804901
  -20.753999710   42.159492493
  -20.733999252   41.552486420
  -20.714000702   41.106586456
  -20.694000244   40.832611084
  -20.673999786   40.778083801
  -20.653999329   40.875205994
  -20.634000778   41.102493286
  -20.614000320   41.383594513
  -20.593999863   41.633090973
  -20.573999405   41.752983093
  -20.554000854   41.699008942
  -20.534000397   41.441883087
  -20.513999939   40.976497650
  -20.493999481   40.360912323
  -20.474000931   39.645286560
  -20.454000473   38.921306610
  -20.434000015   38.234813690
  -20.413999557   37.654605865
  -20.393999100   37.190105438
  -20.374000549   36.815402985
  -20.354000092   36.533210754
  -20.333999634   36.284206390
  -20.313999176   36.049209595
  -20.294000626   35.800720215
  -20.274000168   35.516799927
  -20.253999710   35.216499329
  -20.233999252   34.888103485
  -20.214000702   34.564411163
  -20.194000244   34.254692078
  -20.173999786   33.942611694
  -20.153999329   33.644500732
  -20.134000778   33.333381653
  -20.114000320   32.985797882
  -20.093999863   32.581268311
  -20.073999405   32.104583740
  -20.054000854   31.549983978
  -20.034000397   30.926984787
  -20.013999939   30.259078979
  -19.993999481   29.568382263
  -19.974000931   28.881389618
  -19.954000473   28.213090897
  -19.934000015   27.569398880
  -19.913999557   26.946294785
  -19.893999100   26.342103958
  -19.874000549   25.756992340
  -19.854000092   25.201791763
  -19.833999634   24.701992035
  -19.813999176   24.289001465
  -19.794000626   23.992092133
  -19.774000168   23.840993881
  -19.753999710   23.841293335
  -19.733999252   23.988288879
  -19.714000702   24.263101578
  -19.694000244   24.637088776
  -19.673999786   25.078889847
  -19.653999329   25.568508148
  -19.634000778   26.092180252
  -19.614000320   26.641897202
  -19.593999863   27.208396912
  -19.573999405   27.778503418
  -19.554000854   28.319004059
  -19.534000397   28.783697128
  -19.513999939   29.113777161
  -19.493999481   29.249086380
  -19.474000931   29.131782532
  -19.454000473   28.741479874
  -19.434000015   28.078592300
  -19.413999557   27.189201355
  -19.393999100   26.146293640
  -19.374000549   25.044193268
  -19.354000092   23.990291595
  -19.333999634   23.083709717
  -19.313999176   22.406404495
  -19.294000626   22.020601273
  -19.274000168   21.953998566
  -19.253999710   22.209701538
  -19.233999252   22.760986328
  -19.214000702   23.558898926
  -19.194000244   24.534610748
  -19.173999786   25.605100632
  -19.153999329   26.683111191
  -19.134000778   27.681402206
  -19.114000320   28.518400192
  -19.093999863   29.135419846
  -19.073999405   29.483812332
  -19.054000854   29.552129745
  -19.034000397   29.342714310
  -19.013999939   28.891212463
  -18.993999481   28.247995377
  -18.974000931   27.481987000
  -18.954000473   26.670698166
  -18.934000015   25.897293091
  -18.913999557   25.234498978
  -18.893999100   24.750703812
  -18.874000549   24.493999481
  -18.854000092   24.489700317
  -18.833999634   24.740303040
  -18.813999176   25.215995789
  -18.794000626   25.863405228
  -18.774000168   26.613998413
  -18.753999710   27.384820938
  -18.733999252   28.092912674
  -18.714000702   28.662927628
  -18.694000244   29.041820526
  -18.673999786   29.192306519
  -18.653999329   29.141801834
  -18.634000778   28.899002075
  -18.614000320   28.507513046
  -18.593999863   28.044733047
  -18.573999405   27.580921173
  -18.554000854   27.195308685
  -18.534000397   26.962614059
  -18.513999939   26.944324493
  -18.493999481   27.184307098
  -18.474000931   27.702306747
  -18.454000473   28.482584000
  -18.434000015   29.473340988
  -18.413999557   30.613620758
  -18.393999100   31.740772247
  -18.374000549   32.830524445
  -18.354000092   33.725883484
  -18.333999634   34.351604462
  -18.313999176   34.673187256
  -18.294000626   34.705879211
  -18.274000168   34.468597412
  -18.253999710   34.041927338
  -18.233999252   33.480995178
  -18.214000702   32.902301788
  -18.194000244   32.350219727
  -18.173999786   31.890815735
  -18.153999329   31.516115189
  -18.134000778   31.243509293
  -18.114000320   31.033594131
  -18.093999863   30.844892502
  -18.073999405   30.624729156
  -18.054000854   30.331197739
  -18.034000397   29.932821274
  -18.013999939   29.397014618
  -17.993999481   28.730615616
  -17.974000931   27.937410355
  -17.954000473   27.042600632
  -17.934000015   26.076221466
  -17.913999557   25.082008362
  -17.893999100   24.088602066
  -17.874000549   23.132003784
  -17.854000092   22.237405777
  -17.833999634   21.426982880
  -17.813999176   20.720687866
  -17.794000626   20.129995346
  -17.774000168   19.662275314
  -17.753999710   19.320096970
  -17.733999252   19.097591400
  -17.714000702   18.975685120
  -17.694000244   18.926998138
  -17.673999786   18.917802811
  -17.653999329   18.908487320
  -17.634000778   18.864093781
  -17.614000320   18.762592316
  -17.593999863   18.590795517
  -17.573999405   18.356903076
  -17.554000854   18.082885742
  -17.534000397   17.796691895
  -17.513999939   17.529405594
  -17.493999481   17.303295135
  -17.474000931   17.128795624
  -17.454000473   16.997299194
  -17.434000015   16.889808655
  -17.413999557   16.770801544
  -17.393999100   16.606697083
  -17.374000549   16.366903305
  -17.354000092   16.028001785
  -17.333999634   15.588207245
  -17.313999176   15.054510117
  -17.294000626   14.449806213
  -17.274000168   13.805307388
  -17.253999710   13.154709816
  -17.233999252   12.532301903
  -17.214000702   11.968801498
  -17.194000244   11.487901688
  -17.173999786   11.107199669
  -17.153999329   10.840997696
  -17.134000778   10.697196960
